account,closedPnL_sum,closedPnL_mean,closedPnL_std,closedPnL_count,trade_value_sum,trade_value_mean,is_profitable_mean,sharpe_ratio,win_rate,total_pnl,avg_pnl,trade_count
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.1278,4692.4523,3818,61697263.97,16159.5767,0.3596,0.08931956537949251,0.3596,1600229.82,419.1278,3818
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.3205,6.5777,134.0735,7280,12035487.66,1653.2263,0.4427,0.04906040343542908,0.4427,47885.3205,6.5777,7280
0x271b280974205ca63b716753467d5a371de622ab,-70436.1913,-18.492,542.1827,3809,33873440.42,8893.0009,0.3019,-0.034106584367225294,0.3019,-70436.1913,-18.492,3809
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.8146,9.9515,113.2694,13311,6757022.1,507.6269,0.4386,0.08785691457710555,0.4386,132464.8146,9.9515,13311
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.005,52.071,255.8291,3239,10166880.2,3138.8948,0.5199,0.2035382214142175,0.5199,168658.005,52.071,3239
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-38.2866,558.7788,815,1409902.0,1729.9411,0.4552,-0.06851834751067863,0.4552,-31203.6,-38.2866,815
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.9193,4.0281,730.4955,3589,17193375.42,4790.5755,0.3277,0.005514202346215686,0.3277,14456.9193,4.0281,3589
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.2472,161.1333,1279.8558,332,1143896.46,3445.4713,0.4759,0.1258995739988833,0.4759,53496.2472,161.1333,332
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.5927,520.9023,2228.3361,383,1987527.61,5189.3671,0.235,0.23376289600119118,0.235,199505.5927,520.9023,383
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,336.7355,1649.4976,1237,2966109.22,2397.8248,0.4842,0.204144280052302,0.4842,416541.8723,336.7355,1237
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.7162,12.131,88.2928,8519,4408828.9,517.5289,0.3534,0.1373951216860265,0.3534,103343.7162,12.131,8519
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506,155.5893,855.354,4356,39572949.25,9084.6991,0.4862,0.18190047629402564,0.4862,677747.0506,155.5893,4356
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.8697,40.7405,656.6936,7584,129672529.28,17098.1711,0.3604,0.06203882602175505,0.3604,308975.8697,40.7405,7584
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.5552,68.6844,639.4024,12236,420876556.36,34396.5803,0.4012,0.1074196781244487,0.4012,840422.5552,68.6844,12236
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.2168,111.5192,468.996,975,728057.51,746.7257,0.4318,0.2377828382331619,0.4318,108731.2168,111.5192,975
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.5659,270.0349,2525.2404,1590,11474500.92,7216.6672,0.3459,0.10693433385589743,0.3459,429355.5659,270.0349,1590
